raison_sociale;adresse_complete;cp_ville;lat;lng
CTRE DE READ.FONCT.DE RICHEBOURG;22 RTE DE GRESSEY;78550 RICHEBOURG;48.8251055;1.6344206
HOPITAL DE JOUR DE MEDECINE;403 AV DE LA REPUBLIQUE;92014 NANTERRE CEDEX;48.9122171;2.2236494
CENTRE TISSERAND;11 R TISSERAND;75015 PARIS;48.8406532;2.2842274
C.A.S.A.;5 R AVAULEE;92240 MALAKOFF;48.8164734;2.2922346
CLINIQUE DENTAIRE J.DELIBERO (AP-HP);45 R LA TOUR D'AUVERGNE;75009 PARIS;48.8797379;2.3409384
CTRE MEDICO-PSY. 91 G 01 & CATTP;16 RTE DE GUIGNEVILLE;91590 LA FERTE ALAIS;48.4787543;2.3533959
CENTRE LOUIS LE GUILLANT;25 R SERVAN;75011 PARIS;48.8603525;2.3833278
CENTRE MEDICO-PSYCHOLOGIQUE 94G17;7B AV DU GENERAL DE GAULLE;94320 THIAIS;48.7666946;2.3844987
CLINIQUE CHIRURGICALE DE VITRY;22 R DE LA PETITE SAUSSAIE;94400 VITRY SUR SEINE;48.7856378;2.3894821
HÔPITAL PRIVÉ DE MARNE-LA-VALLÉE;33 R LÉON MENU;94360 BRY SUR MARNE;48.8392317;2.5381791
UNITE PSYCHIATRIQUE  77G09-G10;4 R DES MOULINS;77120 COULOMMIERS;48.8141281;3.0828808
CENTRE MEDICO-PSY. 78 I 05;2 SQ DU BAZOIS;78310 MAUREPAS;48.762121;1.9426057
HOPITAL ANTOINE BECLERE (AP-HP);157 R DE LA PTE DE TRIVAUX;92140 CLAMART;48.7885168;2.2549009
CLIN. NEURO-PSY LES PERVENCHES;12 R DES MOULINS A VENT;92260 FONTENAY AUX ROSES;48.7949824;2.2778673
HOPITAL DE JOUR G08;6B R NATIONALE;95260 BEAUMONT SUR OISE;49.1429004;2.2849376
C.H. EAUBONNE MONTMORENCY -SIMONE VEIL;1 R JEAN MOULIN;95160 MONTMORENCY;48.9868707;2.3175378
CMP SAINT-OUEN;11 R JEAN;93400 ST OUEN;48.9092247;2.3340527
CLINIQUE DE L'ESTREE;35 R D'AMIENS;93245 STAINS CEDEX;48.9538208;2.3680389
CATTP ADULTES GAMBETTA;14 R DES TOURELLES;75020 PARIS;48.874762;2.4047613
CENTRE MUNICIPAL DE SANTE;8 R NEBECKER;93440 DUGNY;48.952179;2.416983
CTRE MEDICO-PSYCH.REPUBLIQUE;2 R DE LA REPUBLIQUE;93700 DRANCY;48.9219749;2.4456063
VILLA FLORENTINE UNITE PSY 77G17;3 AV DE L'AVENIR;77340 PONTAULT COMBAULT;48.8034516;2.6121832
INSTITUT MGEN DE LA VERRIERE;2 RTE DE MONTFORT;78320 LA VERRIERE;48.7515616;1.9459997
CENTRE MEDICO PSYCHOLOGIQUE 78 G 10;80 BD DE LA REINE;78000 VERSAILLES;48.8087366;2.1336057
CMP+CATTP;144 R SALVADOR ALLENDE;92000 NANTERRE;48.8936264;2.2268048
CENTRE HOSPITALIER D'ARPAJON;18 AV DE  VERDUN;91294 ARPAJON CEDEX;48.584486;2.244365
APPARTEMENT THERAPEUTIQUE ARMME;6 R DU VALLON VERT;95680 MONTLIGNON;49.0051866;2.2793826
HOPITAL DE JOUR D'ANTONY;37 AV LEON JOUHAUX;92167 ANTONY CEDEX;48.735699;2.3052267
CATTP ADULTES LEBOUTEUX;5 R LEBOUTEUX;75017 PARIS;48.8833659;2.3161394
CATTP ADULTES 75G12;22 R LA GLACIÈRE;75013 PARIS;48.8358663;2.3450448
CMP DE MORSANG 91 G 08;9 R PAILLARD;91390 MORSANG SUR ORGE;48.6629802;2.3510034
HOPITAL DE JOUR ALFORTVILLE;9 AV DU GÉNÉRAL LECLERC;94140 ALFORTVILLE;48.8003209;2.4201268
CMP MEAUX PIERRE COLLINET  77G11;40 AV DE LA CONCORDE;77100 MEAUX;48.9513558;2.9105034
CATTP 77I04;62 R BERTRAND FLORNOY;77120 COULOMMIERS;48.8097014;3.0827256
CMP CHAMIGNY;R DE CHAMIGNY;77260 LA FERTE SOUS JOUARRE;48.9690536;3.1160352
CMP;10 R DE L'ECLIPSE;95000 CERGY;49.0512627;2.0304689
SERVICE MEDICO-PSYCHOLOGIQUE REGIONAL;5B R ALEXANDRE TURPAULT;78390 BOIS D ARCY;48.8049314;2.0347148
FOYER DE POST-CURE HOP. DE NUIT;2 R DES GOULVENTS;92000 NANTERRE;48.8903182;2.1905973
CLINIQUE MED. PEDAGOGIQUE EDOUARD RIST;14 R BOILEAU;75016 PARIS;48.8464867;2.2652721
CENTRE DE SOINS LONG SEJOUR MAGNOLIAS;77 R DU PERRAY;91160 BALLAINVILLIERS;48.659196;2.2838546
HOPITAL DE JOUR 91I02  SAVIGNY;89 R DU BILLOIR;91600 SAVIGNY SUR ORGE;48.6751166;2.3429338
FOYER POST-CURE RENE CAPITANT;8 R LANNEAU;75005 PARIS;48.8483432;2.3466214
HOPITAL LARIBOISERE;2 R AMBROISE PARE;75475 PARIS CEDEX 10;48.8819273;2.3527289
CLINIQUE DE READAPTATION;32 R VICTOR HUGO;93380 PIERREFITTE SUR SEINE;48.9637837;2.363612
CLINIQUE DU PARC DE BELLEVILLE;104 R DES COURONNES;75020 PARIS;48.8710419;2.3887031
C.M.P.PSY.INFANTO-JUV. - BRY/M;2 AV JULES FERRY;94360 BRY SUR MARNE;48.8400048;2.5224073
CATTP ESPACE H. ZEPHIR 94G04;28 R DU CLOS DES PERROQUETS;94500 CHAMPIGNY SUR MARNE;48.8180474;2.5463851
CENTRE MEDICO-PSY;20 R DES FOSSES;77250 MORET SUR LOING;48.3714803;2.8151404
HOPITAL DE JOUR HENRI MATISSE 78G09;10 AV JEAN JAURES;78360 MONTESSON;48.9054939;2.1521499
CMP FRANCONVILLE;38 R DE LA STATION;95130 FRANCONVILLE LA GARENNE;48.99071;2.222572
CATTP 92G09;14 AV DU GENERAL DE GAULLE;92150 SURESNES;48.8695275;2.2241673
HOP PRIVE GERIAT LES MAGNOLIAS;77 R DU PERRAY;91160 BALLAINVILLIERS;48.659196;2.2838546
CMP CENTRE PSYCHOSOMATIQUE:IPSO;20 R BELLIER-DEDOUVRE;75013 PARIS;48.824971;2.3506495
MAISON D'ARRET DE FLEURY MEROGIS;7 AV DES PEUPLIERS;91700 FLEURY MEROGIS;48.6424141;2.3661604
CATTP ADULTES DENISE GREY;7 R DU BUISSON SAINT-LOUIS;75010 PARIS;48.8720625;2.3728644
CENTRE LA ROQUETTE;63 R DE LA ROQUETTE;75011 PARIS;48.8558373;2.3752069
CENTRE MEDICO-PSYCH.A.RIMBAUD;1 ALL ARTHUR RIMBAUD;93240 STAINS;48.9497492;2.3760491
GHHMAC SITE ALBERT CHENEVIER;40 R DE MESLY;94010 CRETEIL CEDEX;48.7903573;2.4608275
CMP LECLERC;87 AV DU GENERAL LECLERC;91800 BRUNOY;48.6863547;2.492543
CLINIQUE KORIAN JONCS MARINS;6 R JOULEAU;94170 LE PERREUX SUR MARNE;48.8528889;2.5077614
CENTRE MEDICO-PSY. SECT 78 G 16;42 R DE PARIS;78550 HOUDAN;48.7927308;1.6004891
USLD DU CH DOURDAN;2 R DU POTELET;91415 DOURDAN CEDEX;48.5344717;2.0015416
ANTENNE MEDICO PSY 78G13;9 ALL DU COMMERCE;78041 GUYANCOURT CEDEX;48.7753959;2.0733046
CENTRE MAURER;10 R GASTON MAURER;95870 BEZONS;48.935575;2.2153667
LONG SEJOUR HOPITAL L'ISLE ADAM;9 R CHANTEPIE MANCIER;95290 L ISLE ADAM;49.1136038;2.2233553
UNITE GERONTIQUE LA COLLEGIALE (AP-HP);33 R DU FER A MOULIN;75005 PARIS;48.8386888;2.3523275
FOYER DE POST-CURE ILOT WATTEAU;13 R DU BANQUIER;75013 PARIS;48.8358109;2.3568493
HOPITAL PRIVE DE THIAIS;112 AV DU GENERAL DE GAULLE;94320 THIAIS;48.7686265;2.3690784
CATTP JARDIN D'ENFANTS THERAPEUTIQUE;114 AV DE FLANDRE;75019 PARIS;48.8919202;2.3786238
UNITE PSYCHIATRIQUE DU BOIS DE BONDY;13 VOI PROMENADE;93140 BONDY;48.906008;2.481875
CENTRE MEDICO-PSYCHO. 77 I 02;70 ALL JEAN PHILIPPE RAMEAU;77190 DAMMARIE LES LYS;48.5167314;2.6360901
CMP CTRE SOCIO CULTUREL 77 G 12;PL DE L'EGLISE;77165 ST SOUPPLETS;49.0035533;2.7684378
CENTRE MEDICO-PSY.78G01;8 R MOZART;78200 MANTES LA JOLIE;48.9981787;1.6793431
POLYCLINIQUE REGION MANTAISE;23 BD VICTOR DUHAMEL;78200 MANTES LA JOLIE;48.9848695;1.7168418
CENTRE MEDICO CHIRURGICAL DE PARLY II;21 R MOXOURIS;78150 LE CHESNAY;48.830203;2.1198163
CONSULTATION MEDICO-PSY. DE L'ARIS;22B R GENERAL EXELMANS;78140 VELIZY VILLACOUBLAY;48.7809467;2.1987143
CENTRE PSYCHOTHÉRAPIQUE DUTOT AURORE;137 R DE LA CONVENTION;75015 PARIS;48.8398738;2.2906453
CLINIQUE BIZET;23 R GEORGES BIZET;75016 PARIS;48.8676646;2.2968021
CENTRE  MATHURIN REGNIER;14 R MATHURIN REGNIER;75015 PARIS;48.8404815;2.30717
HOPITAL DE JOUR GRENELLE;164 R DE GRENELLE;75007 PARIS;48.8580522;2.3089662
CLINIQUE DU GRAND STADE;130 R DANIELLE CASANOVA;93200 ST DENIS;48.9260673;2.3666531
CENTRE MEDICO-PSY. 95I03;2 R TOULOUSE LAUTREC;95140 GARGES LES GONESSE;48.9765618;2.3925972
CENTRE MEDICO PSYCHOLOGIQUE;49 R DES MARAIS;93000 BOBIGNY;48.9062952;2.4368903
CENTRE MEDICO-PSY. 91 G 08;4 R RENOIR;91108 CORBEIL ESSONNES CEDEX;48.6180844;2.4627716
FOYER DE POST CURE DE 2 SECT;1 PL DU 11 NOVEMBRE 1918;94360 BRY SUR MARNE;48.83916;2.5224
KORIAN SULLY;62 AV DE SULLY;93190 LIVRY GARGAN;48.9158853;2.5252112
CATTP;19 AV VICTOR HUGO;93370 MONTFERMEIL;48.9021491;2.5610166
CLINIQUE SAINT-BRICE;RTE EPARMAILLES;77160 ST BRICE;48.561466;3.316633
HOPITAL DE JOUR PARC MONTSOURIS;20 BD JOURDAN;75014 PARIS;48.8199718;2.3417089
INSTITUT GUSTAVE ROUSSY;39 R CAMILLE DESMOULINS;94805 VILLEJUIF CEDEX;48.7959493;2.3489456
CENTRE SAMPAIX;21 R LUCIEN SAMPAIX;75010 PARIS;48.8723996;2.3609359
CENTRE MEDICO PSYCHO.INFANTILE;13 R DES MARRONNIERS;93380 PIERREFITTE SUR SEINE;48.9633736;2.3691877
CENTRE MEDICO-PSYCH.DURAND;36 R JEAN DURAND;93240 STAINS;48.9561124;2.3789623
LABM CTRE HEMOBIO PERINAT;53 BD DIDEROT;75012 PARIS;48.846965;2.3820807
CENTRE MEDICO-PSY. 91 G 13 CHSF;34 ALL JEAN ROSTAND;91000 EVRY;48.6251205;2.4315412
HOPITAL DE JOUR FONTENAY S/BOIS;8 R DE NEUILLY;94120 FONTENAY SOUS BOIS;48.8474199;2.4723505
HOPITAL DE JOUR SECT. 78 G 1;79 R DE GASSICOURT;78200 MANTES LA JOLIE;48.9945972;1.7059401
CENTRE MEDICO-PSY SECT.78 I 2;14 R DE L'ECHO;78570 CHANTELOUP LES VIGNES;48.972673;2.027372
CTRE D'ACCUEIL THERAP.A TEMPS PARTIEL;142  PORTE DE TRIVAUX;92140 CLAMART;48.78479;2.235239
CENTRE ELISABETH DE LA PANOUSE;37 R JULIEN PERIN;92160 ANTONY;48.7536034;2.2857351
CENTRE DE JOUR-CATTP;QU DE LA RAPEE;75012 PARIS;48.8408083;2.3881833
CENTRE D'ACCUEIL THERAPEUTIQUE;4 COUR DE LA REPUBLIQUE;93140 BONDY;48.9027174;2.4804485
APPARTEMENT THERAPEUTIQUE GAGNY;20 AV DES DAHLIAS;93220 GAGNY;48.8936883;2.5450364
CMPR DE BAZINCOURT;RTE DE VERNEUIL;78130 CHAPET;48.970397;1.944629
CENTRE MEDICO PSY. 91 G 02;27  PROMENADE DES PRES;91150 ETAMPES;48.4321329;2.163349
CENTRE MEDICO-PSY. 91.G.14;25  RUE LES HAUTES PLAINES;91940 LES ULIS;48.6838816;2.1635754
HOPITAL HENRY DUNANT;95 R MICHEL-ANGE;75016 PARIS;48.8402399;2.2581138
CLINIQUE LA MONTAGNE;12 R DE LA MONTAGNE;92400 COURBEVOIE;48.8958484;2.2588494
CENTRE FALGUIERE;14 CITE FALGUIÈRE;75015 PARIS;48.8407824;2.3120565
CENTRE COMPOINT;20 VLA COMPOINT;75017 PARIS;48.8917305;2.3247595
"HOPITAL DE JOUR ""MOSAIQUE"" 91I05";2 R DE LA PLAINE;91700 STE GENEVIEVE DES BOIS;48.6284186;2.3359514
CENTRE VERDUN 94G13;80 R DE VERDUN;94800 VILLEJUIF;48.7903759;2.3537641
CH GENERAL DELAFONTAINE;2 R DU DR PIERRE DELAFONTAINE;93205 ST DENIS CEDEX;48.9868666;2.4485145
KORIAN PSY DU PAYS DE SEINE;1 R DE L'ISLE SAINT PIERRE;77590 BOIS LE ROI;48.481445;2.707359
REPOS ET CONVALESCENCE L'OASIS;R LAMARTINE;78470 ST REMY LES CHEVREUSE;48.7119665;2.0680105
CENTRE ARMAGIS;9 R ARMAGIS;78100 ST GERMAIN EN LAYE;48.8978094;2.0858916
CMP ADOLESCENTS 78I06;11B R JOUVENCEL;78000 VERSAILLES;48.8031397;2.1331757
CENTRE DE JOUR DU FIEF;45 R DU FIEF;95100 ARGENTEUIL;48.9505132;2.237513
CMP ENFANTS 92I02 (J. PREVERT);2 PAS JACQUES PREVERT;92700 COLOMBES;48.9220894;2.252624
CMP ADULTES 92G04 (C. DESMOULIN);7 R CAMILLE DESMOULIN;92300 LEVALLOIS PERRET;48.8888994;2.2843171
CMP BAGNEUX;64 R DES MEUNIERS;92220 BAGNEUX;48.7977862;2.3152535
ETABLISSEMENT PUBLIC DE SANTE ERASME;143 AV ARMAND GUILLEBAUD;92160 ANTONY;48.7450018;2.3157332
HOPITAL DE JOUR POUCHET;28 R POUCHET;75017 PARIS;48.8929775;2.3196396
CENTRE VARENNE;39 R VARENNE;75007 PARIS;48.8541419;2.3231585
APPARTEMENT THERAPEUTIQUE BATIMENT A;3 RLE MARIANNE;95360 MONTMAGNY;48.9773019;2.3511398
CTRE MEDICO-PSYCHOLOGIQUE 95I03;4 R FERNAND PICQUETTE;95470 FOSSES;49.0985015;2.5169692
CENTRE HOSPITALIER CHARCOT;30 R MARC LAURENT;78375 PLAISIR CEDEX;48.8232476;1.9448408
CTRE MEDICO PSYCHOLOGIQUE 78G18;14 R EUGENE HENAFF;78190 TRAPPES;48.7705868;2.007244
ANTENNE DE CONSULTATIONS PSYCHOTHERAP;1B R METRO CHARONNE;91300 MASSY;48.7330963;2.2641425
CLINIQUE DENTAIRE STE-PERINE (AP-HP);49 R MIRABEAU;75016 PARIS;48.8455671;2.2681367
CENTRE MEDICO PSYCHO.BLUM;21 AV LEON BLUM;93140 BONDY;48.9152219;2.4788985
CENTRE D'ACCUEIL 48 HEURES;13 VOI PROMENADE;93140 BONDY;48.906008;2.481875
CLINIQUE PSY DE L'ALLIANCE;3 R DE L'ORCHIDEE SAUVAGE;93420 VILLEPINTE;48.9609951;2.5420743
CMP PARVIS DE LA PREFECTURE;3 PL DE LA PERGOLA;95000 CERGY;49.035617;2.060325
MAISON CRAPOTTE;10 AV CARNOT;78700 CONFLANS STE HONORINE;48.9947959;2.095633
USLD CH DE PUTEAUX;1 BD RICHARD WALLACE;92800 PUTEAUX;48.8787546;2.2419782
CLINIQUE MARCEL SEMBAT (C.C.B.B.);105 AV VICTOR HUGO;92100 BOULOGNE BILLANCOURT;48.8354399;2.2446782
CATTP LEVALLOIS;86 R DU PRÉSIDENT WILSON;92300 LEVALLOIS PERRET;48.8948674;2.2880522
HOPITAL DE JOUR MONTPARNASSE;40 BD DU MONTPARNASSE;75015 PARIS;48.8448607;2.3203717
CMP ADULTES BELLEVILLE;213 R DE BELLEVILLE;75019 PARIS;48.8752699;2.395214
CMP 94G01 FONTENAY;24 R MOT;94120 FONTENAY SOUS BOIS;48.8463178;2.4695215
CENTRE D'ACCUEIL THERAPEUTIQUE;63 R PASTEUR;94380 BONNEUIL SUR MARNE;48.7758041;2.477626
APPARTEMENT THERAPEUTIQUE;1 AV DE L'EUROPE;93420 VILLEPINTE;48.9573307;2.5576923
CLINIQUE DE L'ERMITAGE;186 R PIERRE CURIE;77190 DAMMARIE LES LYS;48.5149485;2.6403974
CHS ROGER PREVOT DE NANTERRE;AV DE LA RÉPUBLIQUE;92014 NANTERRE CEDEX;48.9056276;2.210162
HJ LES COLOMBIERS 91G16;7 AV DU GAL LECLERC;91120 PALAISEAU;48.7063766;2.2380868
CHICNP - SITE  PUTEAUX;1 BD RICHARD WALLACE;92800 PUTEAUX;48.8787546;2.2419782
CMP ADULTES 92G15 (NATIONALE);3 R NATIONALE;92100 BOULOGNE BILLANCOURT;48.8243788;2.244428
HOPITAL DE JOUR COURBEVOIE 92I02;41 R KILFORD;92400 COURBEVOIE;48.9011725;2.253877
CENTRE JAURES 91 G 15;77 AV JEAN JAURES;91120 PALAISEAU;48.7212617;2.2595747
CLINIQUE L'ERMITAGE DE CLAMART;1 R DE L'EST;92140 CLAMART;48.7972108;2.2625548
CENTRE MEDICO-PSY. 91 G 04;19 R DU DOCTEUR OGÉ;91310 MONTLHERY;48.6381679;2.2721927
"CMP 92I07 ENFANTS "" L'AUBIER """;121B AV DU GENERAL DE GAULLE;92340 BOURG LA REINE;48.8176962;2.27651
HOPITAL  SAINT-JEAN DES GRESILLONS;89 AV DES GRESILLONS;92230 GENNEVILLIERS;48.9159602;2.3038675
HAD 92G03;12 R FANNY;92110 CLICHY;48.8994779;2.3153532
"HOPITAL PIERRE ROUQUES ""LES BLUETS""";4 R LASSON;75571 PARIS CEDEX 12;48.8431462;2.4061284
CMP INF-JUV PABLO PICASSO;3  TOUR PABLO PICASSO;94600 CHOISY LE ROI;48.762541;2.4088759
HOPITAL DE JOUR 94G01 FONTENAY;8 R ANATOLE FRANCE;94120 FONTENAY SOUS BOIS;48.852946;2.4716814
CENTRE GALLIENI;86 AV GALLIENI;93140 BONDY;48.905616;2.4795122
CMP ALLENDE;21 R SALVADOR ALLENDE;77240 VERT ST DENIS;48.562583;2.6214806
CENTRE MEDICO-PSYCHOL.78G03;16 R DU PLATEAU;78410 AUBERGENVILLE;48.9595441;1.8627566
CMP + CATTP 78G03;60 R ARISTIDE BRIAND;78130 LES MUREAUX;48.9886354;1.9111417
APPARTEMENT THERAPEUTIQUE 95G06;1 R J.J ROUSSEAU;95220 HERBLAY;48.9932144;2.1674642
CENTRE DE LONG SEJOUR C.H ORSAY;4 PL GENERAL LECLERC;91406 ORSAY CEDEX;48.69867;2.1872302
CLINIQUE DU CHATEAU DE GARCHES;11B R DE LA PORTE JAUNE;92380 GARCHES;48.8427993;2.1990321
C.I.A.P.A;55 R DU SIMPLON;75018 PARIS;48.8948404;2.3463234
